value,formattedValue,hasData,link,topic_mid,topic_title,topic_type
100,100,True,/trends/explore?q=/g/11j66y_wh1&date=today+5-y&geo=MX,/g/11j66y_wh1,Holafly,Tema
19,19,True,/trends/explore?q=/g/11hczw_m64&date=today+5-y&geo=MX,/g/11hczw_m64,eSIM,Tema
16,16,True,/trends/explore?q=/m/01c1r0&date=today+5-y&geo=MX,/m/01c1r0,Tarjeta SIM,Tema
15,15,True,/trends/explore?q=/g/11l203v20g&date=today+5-y&geo=MX,/g/11l203v20g,Holafly,Tema
11,11,True,/trends/explore?q=/m/02j9z&date=today+5-y&geo=MX,/m/02j9z,Europa,Continente
6,6,True,/trends/explore?q=/m/03rlt&date=today+5-y&geo=MX,/m/03rlt,Internet,Tema
4,4,True,/trends/explore?q=/g/11fmb54kl5&date=today+5-y&geo=MX,/g/11fmb54kl5,Airalo,Empresa
4,4,True,/trends/explore?q=/g/11bc6q3hz8&date=today+5-y&geo=MX,/g/11bc6q3hz8,Telcel,Tema
4,4,True,/trends/explore?q=/m/026sq&date=today+5-y&geo=MX,/m/026sq,Dato,Tema
3,3,True,/trends/explore?q=/m/014dsx&date=today+5-y&geo=MX,/m/014dsx,Viaje,Tema
3,3,True,/trends/explore?q=/g/11k6x0d2md&date=today+5-y&geo=MX,/g/11k6x0d2md,Airalo,Aplicación
2,2,True,/trends/explore?q=/m/01l_z9&date=today+5-y&geo=MX,/m/01l_z9,Descuentos y bonificaciones,Tema
2,2,True,/trends/explore?q=/m/03xcw&date=today+5-y&geo=MX,/m/03xcw,Circuito integrado,Tema
2,2,True,/trends/explore?q=/m/02mz1d&date=today+5-y&geo=MX,/m/02mz1d,Reseña,Género literario
2,2,True,/trends/explore?q=/m/01h1rl&date=today+5-y&geo=MX,/m/01h1rl,Itinerancia,Tema
